date,year,month,day,od_pair,market_country,dest_country,pax,seats_capacity,n_flights,censored_flights,naive_total_est,em_total_est,pd01_total_est,pd03_total_est,pd05_total_est,pd07_total_est,pd09_total_est
2015-01-04,2015,1,4,AE→US,AE,US,749,982,2,0,749.0,749.0,749.0,749.0,749.0,749.0,749.0
2015-01-04,2015,1,4,AU→US,AU,US,2351,3327,10,0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0
2015-01-04,2015,1,4,CN→CA,CN,CA,401,516,2,0,401.0,401.0,401.0,401.0,401.0,401.0,401.0
2015-01-04,2015,1,4,CN→US,CN,US,2104,2700,8,0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0,2104.0
2015-01-04,2015,1,4,DE→US,DE,US,218,396,1,0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
2015-01-04,2015,1,4,GB→US,GB,US,444,702,2,0,444.0,444.0,444.0,444.0,444.0,444.0,444.0
2015-01-04,2015,1,4,HK→CA,HK,CA,490,792,2,0,490.0,490.0,490.0,490.0,490.0,490.0,490.0
2015-01-04,2015,1,4,HK→US,HK,US,438,702,2,0,438.0,438.0,438.0,438.0,438.0,438.0,438.0
2015-01-04,2015,1,4,JP→CA,JP,CA,438,516,2,0,438.0,438.0,438.0,438.0,438.0,438.0,438.0
2015-01-04,2015,1,4,JP→US,JP,US,1959,2712,9,2,1959.0,1959.0,1959.0,1959.0,1959.0,1959.0,1959.0
2015-01-04,2015,1,4,KR→CA,KR,CA,384,516,2,0,384.0,384.0,384.0,384.0,384.0,384.0,384.0
2015-01-04,2015,1,4,KR→US,KR,US,1238,1614,5,0,1238.0,1238.0,1238.0,1238.0,1238.0,1238.0,1238.0
2015-01-04,2015,1,4,SG→US,SG,US,739,934,4,0,739.0,739.0,739.0,739.0,739.0,739.0,739.0
2015-01-04,2015,1,4,TW→US,TW,US,764,1308,4,1,764.0,764.0,764.0,764.0,764.0,764.0,764.0
2015-01-05,2015,1,5,AE→US,AE,US,625,982,2,0,625.0,625.0,625.0,625.0,625.0,625.0,625.0
2015-01-05,2015,1,5,AU→US,AU,US,3010,3327,10,5,3010.0,3010.0,3010.0,3010.0,3010.0,3010.0,3010.0
2015-01-05,2015,1,5,CN→CA,CN,CA,313,516,2,0,313.0,313.0,313.0,313.0,313.0,313.0,313.0
2015-01-05,2015,1,5,CN→US,CN,US,1946,2700,8,1,1946.0,1946.0,1946.0,1946.0,1946.0,1946.0,1946.0
2015-01-05,2015,1,5,DE→US,DE,US,264,396,1,0,264.0,264.0,264.0,264.0,264.0,264.0,264.0
2015-01-05,2015,1,5,GB→US,GB,US,392,702,2,0,392.0,392.0,392.0,392.0,392.0,392.0,392.0
2015-01-05,2015,1,5,HK→CA,HK,CA,561,792,2,1,561.0,561.0,561.0,561.0,561.0,561.0,561.0
2015-01-05,2015,1,5,HK→US,HK,US,435,702,2,1,435.0,435.0,435.0,435.0,435.0,435.0,435.0
2015-01-05,2015,1,5,JP→CA,JP,CA,382,516,2,1,382.0,382.0,382.0,382.0,382.0,382.0,382.0
2015-01-05,2015,1,5,JP→US,JP,US,2293,2712,9,4,2293.0,2293.0,2293.0,2293.0,2293.0,2293.0,2293.0
2015-01-05,2015,1,5,KR→CA,KR,CA,433,516,2,0,433.0,433.0,433.0,433.0,433.0,433.0,433.0
2015-01-05,2015,1,5,KR→US,KR,US,1098,1614,5,0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0
2015-01-05,2015,1,5,SG→US,SG,US,629,934,4,0,629.0,629.0,629.0,629.0,629.0,629.0,629.0
2015-01-05,2015,1,5,TW→US,TW,US,812,1308,4,0,812.0,812.0,812.0,812.0,812.0,812.0,812.0
2015-01-06,2015,1,6,AE→US,AE,US,572,982,2,0,572.0,572.0,572.0,572.0,572.0,572.0,572.0
2015-01-06,2015,1,6,AU→US,AU,US,2477,3327,10,0,2477.0,2477.0,2477.0,2477.0,2477.0,2477.0,2477.0
2015-01-06,2015,1,6,CN→CA,CN,CA,294,516,2,0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
2015-01-06,2015,1,6,CN→US,CN,US,1812,2700,8,0,1812.0,1812.0,1812.0,1812.0,1812.0,1812.0,1812.0
2015-01-06,2015,1,6,DE→US,DE,US,207,396,1,0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
2015-01-06,2015,1,6,GB→US,GB,US,350,702,2,0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
2015-01-06,2015,1,6,HK→CA,HK,CA,400,792,2,0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
2015-01-06,2015,1,6,HK→US,HK,US,451,702,2,0,451.0,451.0,451.0,451.0,451.0,451.0,451.0
2015-01-06,2015,1,6,JP→CA,JP,CA,356,516,2,0,356.0,356.0,356.0,356.0,356.0,356.0,356.0
2015-01-06,2015,1,6,JP→US,JP,US,1532,2712,9,0,1532.0,1532.0,1532.0,1532.0,1532.0,1532.0,1532.0
2015-01-06,2015,1,6,KR→CA,KR,CA,316,516,2,0,316.0,316.0,316.0,316.0,316.0,316.0,316.0
